formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess,bandgap,bandgap_sigma,norm_formula,HHI,SR
GdZrS3,Gd,Zr,S,3.0,3.0,-2.0,1.2,1.33,2.58,1.042,184.0,152.0,85.0,-1.38,-1.25,-2.24,-2.11,1.7882352941176471,0.4619565217391304,0.8260869565217391,0.6160714285714286,0.5924170616113744,-2.8746634,-3.6022224400000007,-7.00838179000003,-1.3761398572405408,-3.602222563658176,0.8145175879610062,1.325343534503421,-0.2714066713124998,-2.847077729734469,6.0569064659121885,7.139550537079975,11.769320157021456,30.32,166.94,74.72999999999999,202.1,222.0,84.92999999999999,111.28,84.44,273.21,0.8435782410963234,0.8832285388805483,2.394636671019245,0.918494592682993,1.775336503982544,0.3248822689056396,GdZrS3,0.7779607814905077,0.4183793945751909
SmLuS3,Sm,Lu,S,3.0,3.0,-2.0,1.17,1.27,2.58,1.0600000000000005,184.0,164.0,99.0,-1.41,-1.31,-2.27,-2.17,1.6565656565656566,0.5380434782608695,0.8913043478260869,0.6211453744493393,0.6036866359447005,-2.519165209999997,-1.7533157500000005,-7.00838179000003,-2.5191652964786626,-1.7533158101883548,0.8145175879610062,0.530550865217543,0.3090144625889975,-2.847077729734469,5.94376524505028,5.26002856955933,11.769320157021456,194.74,162.29,74.72999999999999,267.86,232.06,84.92999999999999,115.12,97.53,273.21,0.7545716601668887,0.8695186562098887,2.7045109016934537,0.8946653100196376,1.8745731115341189,0.2318938225507736,LuSmS3,1.075820153965853,0.6093322094844918
SmScS3,Sm,Sc,S,3.0,3.0,-2.0,1.17,1.36,2.58,1.042,184.0,164.0,87.0,-1.41,-1.22,-2.27,-2.08,1.885057471264368,0.4728260869565217,0.8913043478260869,0.6211453744493393,0.5865384615384615,-2.519165209999997,-3.2357286599999986,-7.00838179000003,-2.5191652964786626,-3.235728771077069,0.8145175879610062,0.530550865217543,0.2753302914535808,-2.847077729734469,5.94376524505028,6.884657007341072,11.769320157021456,194.74,165.06,74.72999999999999,267.86,217.74,84.92999999999999,115.12,58.09,273.21,0.8171895905043726,0.9080213273335738,2.035359426812868,0.961596356179644,1.927302598953247,0.353396326303482,ScSmS3,1.586280889414111,0.899135507047661
SmZrS3,Sm,Zr,S,3.0,3.0,-2.0,1.17,1.33,2.58,1.048,184.0,164.0,85.0,-1.41,-1.25,-2.27,-2.11,1.9294117647058824,0.4619565217391304,0.8913043478260869,0.6211453744493393,0.5924170616113744,-2.519165209999997,-3.6022224400000007,-7.00838179000003,-2.5191652964786626,-3.602222563658176,0.8145175879610062,0.530550865217543,-0.2714066713124998,-2.847077729734469,5.94376524505028,7.139550537079975,11.769320157021456,194.74,166.94,74.72999999999999,267.86,222.0,84.92999999999999,115.12,84.44,273.21,0.8404464526686398,0.9147724152691392,1.971920850275641,0.95913283265805,1.8459535837173464,0.3135352432727813,SmZrS3,0.7779607814905077,0.4183793945751909
SmUSe3,Sm,U,Se,3.0,3.0,-2.0,1.17,1.38,2.55,1.02,198.0,164.0,99.0,-1.38,-1.17,-2.27,-2.06,1.6565656565656566,0.5,0.8282828282828283,0.6079295154185022,0.5679611650485437,-2.519165209999997,-1.99527278,-6.510488250000024,-2.5191652964786626,-1.9952728484943232,-0.2111875472497096,0.530550865217543,0.546861732757815,-2.730814399751447,5.94376524505028,5.590257855882314,10.84576444731508,194.74,187.98,79.97,267.86,241.76,95.78,115.12,131.23,23.97,0.7647839476137247,0.8618629615511266,2.845925043107595,0.9225136590600336,1.5110206604003906,0.1908233910799026,SmUSe3,0.7939632424720449,0.44565922653818
DyScS3,Dy,Sc,S,3.0,3.0,-2.0,1.22,1.36,2.58,1.032,184.0,145.0,87.0,-1.36,-1.22,-2.22,-2.08,1.6666666666666667,0.4728260869565217,0.7880434782608695,0.6126126126126127,0.5865384615384615,-3.164901719999999,-3.2357286599999986,-7.00838179000003,-1.1732693202763391,-3.235728771077069,0.8145175879610062,0.4711191951556382,0.2753302914535808,-2.847077729734469,6.187951074411365,6.884657007341072,11.769320157021456,28.52,165.06,74.72999999999999,256.01,217.74,84.92999999999999,111.98,58.09,273.21,0.8094842328623169,0.8584454502665109,2.90301847359172,0.8966070335673852,1.917428731918335,0.3768768310546875,DyScS3,1.586280889414111,0.899135507047661
DyZrS3,Dy,Zr,S,3.0,3.0,-2.0,1.22,1.33,2.58,1.038,184.0,145.0,85.0,-1.36,-1.25,-2.22,-2.11,1.7058823529411764,0.4619565217391304,0.7880434782608695,0.6126126126126127,0.5924170616113744,-3.164901719999999,-3.6022224400000007,-7.00838179000003,-1.1732693202763391,-3.602222563658176,0.8145175879610062,0.4711191951556382,-0.2714066713124998,-2.847077729734469,6.187951074411365,7.139550537079975,11.769320157021456,28.52,166.94,74.72999999999999,256.01,222.0,84.92999999999999,111.98,84.44,273.21,0.8327410950265841,0.8648279443205369,2.7468344741746304,0.8943100068548515,1.8452829122543333,0.3498606979846954,DyZrS3,0.7779607814905077,0.4183793945751909
DyInS3,Dy,In,S,3.0,3.0,-2.0,1.22,1.78,2.58,0.948,184.0,145.0,92.0,-1.36,-0.8,-2.22,-1.66,1.576086956521739,0.5,0.7880434782608695,0.6126126126126127,0.4819277108433735,-3.164901719999999,-2.5178859200000034,-7.00838179000003,-1.1732693202763391,-2.517886006434747,0.8145175879610062,0.4711191951556382,-0.1678385307595446,-2.847077729734469,6.187951074411365,5.364511578154709,11.769320157021456,28.52,114.07,74.72999999999999,256.01,151.32,84.92999999999999,111.98,49.29,273.21,0.8437134437247924,0.8428939022544364,3.393034654415662,1.0714624289018104,1.681059718132019,0.2046223878860473,DyInS3,1.0825497970749989,0.6087307852109838
TbScS3,Tb,Sc,S,3.0,3.0,-2.0,1.1,1.36,2.58,1.056,184.0,151.0,87.0,-1.48,-1.22,-2.34,-2.08,1.735632183908046,0.4728260869565217,0.8206521739130435,0.6324786324786326,0.5865384615384615,-3.0839381900000022,-3.2357286599999986,-7.00838179000003,-1.3025399247139844,-3.235728771077069,0.8145175879610062,0.4848213986217848,0.2753302914535808,-2.847077729734469,6.119534423052706,6.884657007341072,11.769320157021456,29.39,165.06,74.72999999999999,257.89,217.74,84.92999999999999,112.45,58.09,273.21,0.8193392802648035,0.8741009903929517,2.5584746872167035,0.9425642737934928,1.976104974746704,0.3485437333583832,ScTbS3,1.586280889414111,0.899135507047661
ScUS3,U,Sc,S,3.0,3.0,-2.0,1.38,1.36,2.58,1.0,184.0,153.0,87.0,-1.2000000000000002,-1.22,-2.06,-2.08,1.7586206896551724,0.4728260869565217,0.8315217391304348,0.5825242718446603,0.5865384615384615,-1.99527278,-3.2357286599999986,-7.00838179000003,-1.9952728484943232,-3.235728771077069,0.8145175879610062,0.546861732757815,0.2753302914535808,-2.847077729734469,5.590257855882314,6.884657007341072,11.769320157021456,187.98,165.06,74.72999999999999,241.76,217.74,84.92999999999999,131.23,58.09,273.21,0.821113794015488,0.879319503768432,2.4605289678902835,0.8733015603238926,1.7628705501556396,0.3788658082485199,ScUS3,1.0988310058162298,0.6221522596800346
UBiS3,Bi,U,S,3.0,3.0,-2.0,2.02,1.38,2.58,0.8680000000000002,184.0,163.0,99.0,-0.56,-1.2000000000000002,-1.42,-2.06,1.6464646464646464,0.5380434782608695,0.8858695652173914,0.3943661971830986,0.5825242718446603,-4.568780880000002,-1.99527278,-7.00838179000003,-4.56878103683849,-1.9952728484943232,0.8145175879610062,-1.6542288708495247,0.546861732757815,-2.847077729734469,7.913870035627065,5.590257855882314,11.769320157021456,98.99,187.98,74.72999999999999,130.17,241.76,84.92999999999999,54.69,131.23,273.21,0.7681268421958309,0.8670200393816992,2.7645090193711,0.5869684961447935,1.7725108861923218,0.2407971769571304,BiUS3,0.7811921728377788,0.4412597634019618
UInS3,U,In,S,3.0,3.0,-2.0,1.38,1.78,2.58,0.916,184.0,153.0,92.0,-1.2000000000000002,-0.8,-2.06,-1.66,1.6630434782608696,0.5,0.8315217391304348,0.5825242718446603,0.4819277108433735,-1.99527278,-2.5178859200000034,-7.00838179000003,-1.9952728484943232,-2.517886006434747,0.8145175879610062,0.546861732757815,-0.1678385307595446,-2.847077729734469,5.590257855882314,5.364511578154709,11.769320157021456,187.98,114.07,74.72999999999999,241.76,151.32,84.92999999999999,131.23,49.29,273.21,0.7652333356210312,0.8633898026132069,2.8085852076010704,1.043611945877129,1.7723345756530762,0.2694576680660248,InUS3,0.5950999134771179,0.3317475378433574
UInSe3,U,In,Se,3.0,3.0,-2.0,1.38,1.78,2.55,0.8979999999999999,198.0,153.0,92.0,-1.17,-0.7699999999999998,-2.06,-1.66,1.6630434782608696,0.4646464646464646,0.7727272727272727,0.5679611650485437,0.4638554216867468,-1.99527278,-2.5178859200000034,-6.510488250000024,-1.9952728484943232,-2.517886006434747,-0.2111875472497096,0.546861732757815,-0.1678385307595446,-2.730814399751447,5.590257855882314,5.364511578154709,10.84576444731508,187.98,114.07,79.97,241.76,151.32,95.78,131.23,49.29,23.97,0.8199754149669866,0.8558451910156248,2.9607591206445485,1.047927455548195,1.3936817646026611,0.142560139298439,InUSe3,0.8006928855811908,0.4450578022646718
