Formula,tau_star,Bandgap_eV,BG_Deviation,HHI,Supply_Risk,CLS,bg_score,sr_score,cls_score,Composite_Score,Rank
BaZrS3,0.8196973351616501,1.8304277658462524,0.49042776584625236,0.4848783618667468,0.2538826841975744,0.9906862771511078,0.36686063371545313,0.07311325873980458,0.009313722848892203,0.14976253843471662,1
EuZrS3,0.8404464526686398,1.7169358730316162,0.37693587303161613,0.7779607814905077,0.4183793945751909,0.9813980281352996,0.28063879074109527,0.27139542332893063,0.018601971864700362,0.19021206197824206,2
EuHfS3,0.8404464526686398,1.7454291582107544,0.4054291582107543,0.7779607814905077,0.4183793945751909,0.9734013321995736,0.3022856546677706,0.27139542332893063,0.026598667800426412,0.20009324859904254,3
GdZrS3,0.8435782410963234,1.775336503982544,0.43533650398254387,0.7779607814905077,0.4183793945751909,0.9709475246071816,0.3250068059937666,0.27139542332893063,0.02905247539281841,0.20848490157183852,4
BaHfS3,0.8196973351616501,2.080607891082764,0.740607891082764,0.4848783618667468,0.2538826841975744,0.987208333015442,0.5569269982678455,0.07311325873980458,0.012791666984558026,0.21427730799740272,5
DyZrS3,0.8327410950265841,1.8452829122543333,0.5052829122543332,0.7779607814905077,0.4183793945751909,0.9499163256585598,0.3781463570318367,0.27139542332893063,0.05008367434144023,0.23320848490073584,6
LaZrS3,0.8414247481344181,1.8833860158920288,0.5433860158920287,0.7779607814905077,0.4183793945751909,0.9555832697451114,0.40709397379289386,0.27139542332893063,0.04441673025488857,0.240968709125571,7
SmZrS3,0.8404464526686398,1.8459535837173464,0.5059535837173463,0.7779607814905077,0.4183793945751909,0.9154780068900435,0.37865587826843944,0.27139542332893063,0.08452199310995645,0.24485776490244218,8
CuHfS3,0.8107420988505747,1.8860056400299072,0.5460056400299071,0.3830907758624842,0.1932272512058724,0.585011949298787,0.4090841496148523,0.0,0.41498805070121303,0.27469073343868844,9
LaTbSe3,0.8071871958429104,1.5198605060577393,0.17986050605773918,1.2814131260699255,0.7226424739058064,0.9337648177146912,0.13091707120744941,0.6381501252055506,0.06623518228530878,0.2784341262327696,10
CuZrSe3,0.8219868190436883,1.6509623527526855,0.31096235275268547,0.5886837479665571,0.3065375156271868,0.5180851290468127,0.2305175145434532,0.1365826979034935,0.4819148709531873,0.28300502780004466,11
CuHfSe3,0.8219868190436883,1.7802560329437256,0.4402560329437255,0.5886837479665571,0.3065375156271868,0.5704393663033261,0.32874426109367927,0.1365826979034935,0.42956063369667385,0.29829586423128224,12
DyInS3,0.8437134437247924,1.681059718132019,0.34105971813201896,1.0825497970749989,0.6087307852109838,0.8164025779440999,0.25338302720097144,0.5008424784169766,0.18359742205590013,0.31260764255794943,13
EuYS3,0.7963114573083409,1.85396146774292,0.5139614677429198,1.075820153965853,0.609332209484492,0.9444400623440744,0.38473961255012573,0.5015674273020571,0.055559937655925595,0.31395565916936946,14
BaCeS3,0.7987419699856622,2.0671629905700684,0.7271629905700683,0.782737734342092,0.4448354991068755,0.8943371605873108,0.5467126642562974,0.30328526271293094,0.10566283941268917,0.3185535887939725,15
EuTmS3,0.7754915612377814,1.9155038595199585,0.5755038595199584,1.075820153965853,0.609332209484492,0.9588140392675996,0.43149448030735743,0.5015674273020571,0.04118596073240044,0.3247492894472716,16
EuYbSe3,0.8154467856872191,1.3234429359436035,0.016557064056396564,1.2814131260699255,0.7226424739058064,0.6065554604536737,0.006852493692569172,0.6381501252055506,0.3934445395463263,0.3461490528148154,17
EuYbS3,0.8170333189687436,1.7615373134613037,0.42153731346130363,1.075820153965853,0.609332209484492,0.7475818550214172,0.31452331145694634,0.5015674273020571,0.25241814497858284,0.35616962791252876,18
LaTbS3,0.7934971360713026,2.060152769088745,0.720152769088745,1.075820153965853,0.609332209484492,0.955130464285612,0.5413868722478291,0.5015674273020571,0.04486953571438801,0.3626079450880914,19
BaPrS3,0.8199326569653009,2.2779433727264404,0.9379433727264403,0.782737734342092,0.4448354991068755,0.9220239616930485,0.7068463316191709,0.30328526271293094,0.07797603830695155,0.36270254421301784,20
SmYbS3,0.8170333189687436,1.8959070444107056,0.5559070444107055,1.075820153965853,0.609332209484492,0.8272403199179098,0.4166064255464131,0.5015674273020571,0.1727596800820902,0.3636445109768534,21
