,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,EuUS3,"['EuS2', 'US']",-0.2986181749999985,-0.024162808499989197,EuS2 + US -> EuUS3,"[['Eu3S4', 'US3'], ['US3', 'EuS'], ['US2', 'EuS'], ['U3S5', 'EuS'], ['U2S3', 'EuS']]"
1,EuUS3,"['U3S5', 'Eu3S4']",-0.04656069199999422,-0.024162808499989197,0.3333 U3S5 + 0.3333 Eu3S4 -> EuUS3,"[['US2', 'EuS'], ['US3', 'EuS']]"
2,EuUS3,"['EuS', 'US2']",-0.000200000000000955,-0.00019999999999953388,EuS + US2 -> EuUS3,[]
