epoch,train loss,val loss,swa
0.0,0.4590831335065119,0.46002823754775624,n
19.0,0.24162186276949674,0.28466405520426014,y
39.0,0.1575693220403514,0.2714549940151288,y
59.0,0.10666119140084551,0.2666272782097178,y
79.0,0.0795608681261601,0.257205777260226,y
99.0,0.06284052846514739,0.2576445603830427,y
119.0,0.05158612182410739,0.25994126100513887,y
139.0,0.043534484126575235,0.2533270353784903,y
159.0,0.038474905125152156,0.25540558135870733,y
179.0,0.034065961693944866,0.26034418347781685,y
199.0,0.03143136701021717,0.2550925758587756,y
219.0,0.029737421189123744,0.25635139738561036,y
239.0,0.028280254377656376,0.25320045416020165,y
259.0,0.02677596790631941,0.25760554085093096,y
279.0,0.026428437364467133,0.25360981491971607,y
299.0,0.025323616969342974,0.2528901041046647,y
