epoch,train loss,val loss,swa
0.0,0.45441691014981195,0.4540430149756187,n
19.0,0.24357164489610653,0.29459586452189884,y
39.0,0.16334865809062232,0.28114583669615184,y
59.0,0.11132342282840607,0.2684484056861604,y
79.0,0.08385977363717921,0.27060527709561605,y
99.0,0.06465801774366524,0.2722773801525106,y
119.0,0.05282049888333384,0.26598439893118275,y
139.0,0.04607711817140786,0.26890847571296794,y
159.0,0.04016118652037364,0.266567740886993,y
179.0,0.03700164345698864,0.26346734404235506,y
199.0,0.03344124787760291,0.26350669394511494,y
219.0,0.03158263478431978,0.2636826918473257,y
239.0,0.02977322067157518,0.2620135292862401,y
259.0,0.027747172932919038,0.261569740358463,y
279.0,0.02646356336168896,0.26194035974087465,y
299.0,0.026065020510263583,0.26398616815729903,y
