epoch,train loss,val loss,swa
0.0,0.45596159507142636,0.45610488774691077,n
19.0,0.24521973276088996,0.2957999423844098,y
39.0,0.16211782340878497,0.2747578522390571,y
59.0,0.11265462141783227,0.2688482733797436,y
79.0,0.08155558977156661,0.2700701406836181,y
99.0,0.06404330918641798,0.2689695420672414,y
119.0,0.05083091079839465,0.274374700446431,y
139.0,0.043247651988085035,0.27110451443464634,y
159.0,0.038830919620786115,0.27308386810554947,y
179.0,0.03514084613393069,0.26819057963767984,y
199.0,0.03370807911354441,0.2710502384122738,y
219.0,0.031091389718527467,0.268871097196889,y
239.0,0.029744844813052642,0.2667882281558244,y
259.0,0.029461155139919152,0.2692397711362392,y
