epoch,train loss,val loss,swa
0.0,0.456469481174636,0.4570770447576013,n
19.0,0.25266679386893703,0.2975345570850635,y
39.0,0.16672484322442388,0.2823858431876527,y
59.0,0.11342962278821722,0.27771061412559067,y
79.0,0.08413934237132685,0.2791069473445251,y
99.0,0.06568235847219357,0.27274337419136824,y
119.0,0.052899438157158855,0.26938820016614007,y
139.0,0.04575348792097479,0.2710034518859275,y
159.0,0.04047522516917952,0.2753136627601855,y
179.0,0.036006750237814356,0.27591959701096713,y
199.0,0.03355627758919638,0.27311064224926235,y
