epoch,train loss,val loss,swa
0.0,0.4559513194924485,0.45581219872824086,n
19.0,0.2136709068378018,0.2892192168669267,y
39.0,0.13187179300520155,0.28919966555823967,y
59.0,0.0862309047110013,0.28834498519739826,y
79.0,0.06316993259130933,0.2841613144913981,y
99.0,0.05384515832971643,0.27797367159000114,y
119.0,0.043619807479096114,0.2764566752536238,y
139.0,0.0390569614912291,0.2761378406493132,y
159.0,0.03418419170646602,0.2731678627082467,y
179.0,0.032732789111897205,0.27694438245999253,y
199.0,0.03004552740972685,0.27284259408630285,y
219.0,0.02943866561960291,0.27847492760534787,y
239.0,0.02770547808808155,0.2723058265102796,y
259.0,0.02687479980437536,0.2783189230385562,y
