epoch,train loss,val loss,swa
0.0,0.4531218935316573,0.45170374317274276,n
19.0,0.2443505244927339,0.2969999753410823,y
39.0,0.1606207448669402,0.28688283465782144,y
59.0,0.10907030302834733,0.2707206815399086,y
79.0,0.08019797344201189,0.2700335621505401,y
99.0,0.0615393541386028,0.26972902313736846,y
119.0,0.05137614559116383,0.26075287758483046,y
139.0,0.04416154676862767,0.2654552187144592,y
159.0,0.039325070274324095,0.26210966845846045,y
179.0,0.035280663035976934,0.2584443962606845,y
199.0,0.0328708859568257,0.25946760407492475,y
219.0,0.030421896705706337,0.2639878623741717,y
239.0,0.029482638535931867,0.2642642854002225,y
