epoch,train loss,val loss,swa
0.0,0.4520284046311776,0.45186890813601577,n
19.0,0.24148110678736545,0.28934189931748655,y
39.0,0.15771358022190307,0.2708835283258401,y
59.0,0.1047528678182895,0.26903992874891636,y
79.0,0.07838550162759014,0.27605019916187634,y
99.0,0.06561986147987686,0.2666993761850783,y
119.0,0.052712518827082125,0.2613760315025477,y
139.0,0.044640343900716035,0.25988161366833146,y
159.0,0.040538905983050065,0.2625722842439804,y
179.0,0.03721547003535054,0.25803302536326006,y
199.0,0.03419407892029997,0.2608821736879585,y
