epoch,train loss,val loss,swa
0.0,0.4558542657416264,0.4558742538956571,n
19.0,0.24349159649510665,0.29523682889859537,y
39.0,0.16165277720401716,0.27447526251317383,y
59.0,0.11210934275883883,0.2737404075207461,y
79.0,0.08308234546809967,0.27535608747445517,y
99.0,0.06438500036333644,0.2705294921706859,y
119.0,0.05340876527097216,0.2700699561226795,y
139.0,0.04593095693946583,0.2654580761250057,y
159.0,0.039966757196428365,0.27227426921697356,y
179.0,0.0354545812325739,0.26870071559569725,y
199.0,0.032580675091754975,0.26687640821966585,y
219.0,0.03033912442791507,0.2677481686773379,y
239.0,0.029168846647478885,0.2650653271635702,y
259.0,0.02831896544735582,0.2666592499441352,y
279.0,0.02651195768979614,0.264810571328996,y
299.0,0.025432777996516893,0.2607275267277867,y
