epoch,train loss,val loss,swa
0.0,0.45147249223773517,0.45144045747016087,n
19.0,0.23791044190536279,0.2963128608777175,y
39.0,0.15601477160443938,0.2770854034371284,y
59.0,0.10542187745779814,0.2703261171819093,y
79.0,0.0792721785158227,0.2708065056603802,y
99.0,0.06218728507329151,0.2670748529355388,y
119.0,0.049624088589361334,0.2670316390754763,y
139.0,0.042152580928999664,0.26256264241273736,y
159.0,0.03671538883205285,0.2634586204182018,y
179.0,0.03324805075838022,0.26789701707435376,y
199.0,0.030519381976801308,0.26599589720902034,y
219.0,0.030070421101716698,0.2711272462997226,y
