epoch,train loss,val loss,swa
0.0,0.45396175029604785,0.454728070697837,n
19.0,0.27608840992169736,0.31047605712880116,y
39.0,0.19792569948836575,0.28285185101932075,y
59.0,0.14321151188864206,0.26640152832693303,y
79.0,0.10444416082127188,0.2646335711492323,y
99.0,0.07848329128354767,0.261933793377942,y
119.0,0.0613526146959059,0.267180722935469,y
139.0,0.05278785700308381,0.26296482532805976,y
159.0,0.04204177427176851,0.25977489573896423,y
179.0,0.03635744683747453,0.25719743458035893,y
199.0,0.032114179236243136,0.2580454503865938,y
219.0,0.030257944626121337,0.2635161177185941,y
239.0,0.02779776050993527,0.25864679130312496,y
259.0,0.0266875196209782,0.2640345687708579,y
