epoch,train loss,val loss,swa
0.0,0.46098942640811963,0.46307893659786087,n
19.0,0.3009221321709973,0.3245464129881425,y
39.0,0.21157138783877508,0.2996821771311694,y
59.0,0.15389257061489692,0.2879665804303382,y
79.0,0.10442545823111031,0.284593685599398,y
99.0,0.07602452825136138,0.2807095875096387,y
119.0,0.057587251426596875,0.2745473125420983,y
139.0,0.04744271501683105,0.2769272941531557,y
159.0,0.04069951412843721,0.2802455559906552,y
179.0,0.036717810193725,0.2760054956782948,y
199.0,0.032393127166345806,0.28169563716436546,y
219.0,0.029877459649625602,0.2804492544536748,y
